Year,Month,Index
2016,3,224.67
2016,4,225.81
2016,5,226.72
2016,6,228.01
2016,7,229.22
2016,8,230.25
2016,9,231.58
2016,10,232.78
2016,11,233.81
2016,12,235.36
2017,1,235.35
2017,2,236.8
2017,3,238.25
2017,4,240.11
2017,5,241.24
2017,6,242.15
2017,7,243.49
2017,8,245.09
2017,9,246.07
2017,10,247.14
2017,11,248.74
2017,12,249.8
2018,1,251.59
2018,2,253.61
2018,3,254.41
2018,4,255.2
2018,5,256.58
2018,6,257.67
2018,7,258.67
2018,8,259.95
2018,9,260.33
2018,10,261.25
2018,11,262.86
2018,12,263.51
2019,1,264.95
2019,2,265.65
2019,3,266.62
2019,4,268.21
2019,5,269.61
2019,6,270.47
2019,7,271.51
2019,8,272.38
2019,9,273.91
2019,10,275.33
2019,11,276.7
2019,12,278.94
2020,1,280.71
2020,2,282.77
2020,3,283.5
2020,4,284.32
2020,5,283.66
2020,6,286.78
2020,7,290.4
2020,8,295.24
2020,9,299.79
2020,10,304.41
2020,11,307.8
2020,12,311.73
2021,1,315.25
2021,2,318.55
2021,3,323.84
2021,4,329.45
2021,5,335.27
2021,6,341.37
2021,7,346.4
2021,8,350.09
2021,9,353.43
2021,10,357.92
2021,11,362.53
2021,12,367.56
2022,1,373.03
2022,2,379.95
2022,3,385.6
2022,4,391.93
2022,5,396.65
2022,6,397.19
2022,7,394.62
2022,8,392.05
2022,9,392.35
